airline,airline_id,source_airport_id,source_airport,destination_airport_id,destination_airport,stops,equipment
2B,410,2990,AER,2965,KZN,0,CR2
2B,410,2990,ASF,2966,KZN,0,CR2
2B,410,2962,ASF,2966,MRV,0,CR2
2B,410,2990,CEK,2968,KZN,0,CR2
2B,410,4078,CEK,2968,OVB,0,CR2
2B,410,2990,DME,4029,KZN,0,CR2
2B,410,6969,DME,4029,NBC,0,CR2
2B,410,\N,DME,4029,TGK,0,CR2
2B,410,6160,DME,4029,UUA,0,CR2
2B,410,2952,EGO,6156,KGD,0,CR2
2B,410,2990,EGO,6156,KZN,0,CR2
2B,410,6969,GYD,2922,NBC,0,CR2
2B,410,6156,KGD,2952,EGO,0,CR2
2B,410,2965,KZN,2990,AER,0,CR2
2B,410,2966,KZN,2990,ASF,0,CR2
2B,410,2968,KZN,2990,CEK,0,CR2
2B,410,4029,KZN,2990,DME,0,CR2
2B,410,6156,KZN,2990,EGO,0,CR2
2B,410,2948,KZN,2990,LED,0,CR2
2B,410,2975,KZN,2990,SVX,0,CR2
2B,410,2990,LED,2948,KZN,0,CR2
2B,410,6969,LED,2948,NBC,0,CR2
2B,410,6160,LED,2948,UUA,0,CR2
2B,410,2966,MRV,2962,ASF,0,CR2
2B,410,4029,NBC,6969,DME,0,CR2
2B,410,2922,NBC,6969,GYD,0,CR2
2B,410,2948,NBC,6969,LED,0,CR2
2B,410,2975,NBC,6969,SVX,0,CR2
2B,410,2975,NJC,2972,SVX,0,CR2
2B,410,6160,NJC,2972,UUA,0,CR2
2B,410,2975,NUX,4364,SVX,0,CR2
2B,410,2968,OVB,4078,CEK,0,CR2
2B,410,2975,OVB,4078,SVX,0,CR2
2B,410,2990,SVX,2975,KZN,0,CR2
2B,410,6969,SVX,2975,NBC,0,CR2
2B,410,2972,SVX,2975,NJC,0,CR2
2B,410,4364,SVX,2975,NUX,0,CR2
2B,410,4078,SVX,2975,OVB,0,CR2
2B,410,4029,TGK,\N,DME,0,CR2
2B,410,4029,UUA,6160,DME,0,CR2
2B,410,2948,UUA,6160,LED,0,CR2
2B,410,2972,UUA,6160,NJC,0,CR2
2G,1654,2937,BTK,2936,IKT,0,A81
2G,1654,4078,BTK,2936,OVB,0,A81
2G,1654,4078,CEK,2968,OVB,0,A81
2G,1654,2937,HTA,2935,IKT,0,AN4
2G,1654,2936,IKT,2937,BTK,0,A81
2G,1654,2935,IKT,2937,HTA,0,AN4
2G,1654,\N,IKT,2937,KCK,0,AN4
2G,1654,8944,IKT,2937,ODO,0,AN4
2G,1654,4078,IKT,2937,OVB,0,A81
2G,1654,6924,IKT,2937,UKX,0,AN4
2G,1654,9026,IKT,2937,ULK,0,AN4
2G,1654,2923,IKT,2937,YKS,0,A81
2G,1654,2937,KCK,\N,IKT,0,AN4
2G,1654,4078,MJZ,2925,OVB,0,A81
2G,1654,2937,ODO,8944,IKT,0,AN4
2G,1654,2936,OVB,4078,BTK,0,A81
2G,1654,2968,OVB,4078,CEK,0,A81
2G,1654,2937,OVB,4078,IKT,0,A81
2G,1654,2937,UKX,6924,IKT,0,AN4
2G,1654,2937,ULK,9026,IKT,0,AN4
2G,1654,2937,YKS,2923,IKT,0,A81
2I,8359,2789,AYP,2786,LIM,0,142
2I,8359,2789,CUZ,2812,LIM,0,142 141
2I,8359,2808,CUZ,2812,PEM,0,142
2I,8359,2789,HUU,6067,LIM,0,141
2I,8359,2781,IQT,2801,PCL,0,143
2I,8359,2806,IQT,2801,TPP,0,142
2I,8359,2786,LIM,2789,AYP,0,142
2I,8359,2812,LIM,2789,CUZ,0,142 141
2I,8359,6067,LIM,2789,HUU,0,141
2I,8359,2781,LIM,2789,PCL,0,143 146
2I,8359,2806,LIM,2789,TPP,0,142 146
2I,8359,2801,PCL,2781,IQT,0,143
2I,8359,2789,PCL,2781,LIM,0,143 146
2I,8359,2806,PCL,2781,TPP,0,146
2I,8359,2812,PEM,2808,CUZ,0,142
2I,8359,2801,TPP,2806,IQT,0,142
2I,8359,2789,TPP,2806,LIM,0,142 146
2I,8359,2781,TPP,2806,PCL,0,146
2J,470,247,ABJ,253,BOY,0,CRJ
2J,470,246,ABJ,253,OUA,0,E70 CRJ M87
2J,470,246,ACC,248,OUA,0,CRJ
2J,470,253,BKO,1044,ABJ,0,M87
2J,470,1084,BKO,1044,DKR,0,M87
2J,470,246,BKO,1044,OUA,0,CRJ
2J,470,253,BOY,247,ABJ,0,CRJ
2J,470,246,BOY,247,OUA,0,CRJ
2J,470,298,COO,245,LFW,0,M87
2J,470,246,COO,245,OUA,0,M87
2J,470,1044,DKR,1084,BKO,0,M87
2J,470,246,DKR,1084,OUA,0,M87
2J,470,246,LFW,298,OUA,0,M87 CRJ
2J,470,246,NIM,280,OUA,0,CRJ
2J,470,253,OUA,246,ABJ,0,E70 CRJ M87
2J,470,248,OUA,246,ACC,0,CRJ
2J,470,1044,OUA,246,BKO,0,M87 CRJ
2J,470,247,OUA,246,BOY,0,CRJ
2J,470,245,OUA,246,COO,0,M87
2J,470,1084,OUA,246,DKR,0,M87
2J,470,298,OUA,246,LFW,0,CRJ
2J,470,280,OUA,246,NIM,0,CRJ
2K,1338,2673,BOG,2709,GYE,0,319
2K,1338,2688,BOG,2709,UIO,0,319 320
2K,1338,2673,CLO,2715,GYE,0,319
2K,1338,2709,GYE,2673,BOG,0,319
2K,1338,2715,GYE,2673,CLO,0,319
2K,1338,6045,GYE,2673,SCY,0,319 320
2K,1338,2688,GYE,2673,UIO,0,320 319
2K,1338,2688,OCC,2670,UIO,0,319
2K,1338,2673,SCY,6045,GYE,0,319 320
2K,1338,2709,UIO,2688,BOG,0,319 320
2K,1338,2673,UIO,2688,GYE,0,319
2K,1338,2670,UIO,2688,OCC,0,319
2L,2750,1678,BDS,1506,ZRH,0,100
2L,2750,1678,BOD,1264,ZRH,0,100
2L,2750,1678,BRS,490,ZRH,0,100
2L,2750,1054,GVA,1665,LPA,0,319
2L,2750,1678,LCA,1197,ZRH,0,319
2L,2750,1678,LPA,1054,ZRH,0,319
2L,2750,1678,RMF,4197,ZRH,0,319
2L,2750,1665,TFS,1056,GVA,0,319
2L,2750,1506,ZRH,1678,BDS,0,100
2L,2750,1264,ZRH,1678,BOD,0,100
2L,2750,490,ZRH,1678,BRS,0,100
2L,2750,1197,ZRH,1678,LCA,0,319
2L,2750,1054,ZRH,1678,LPA,0,319
2L,2750,4197,ZRH,1678,RMF,0,319
2N,3652,719,AJR,730,LYC,0,ATP
2N,3652,715,ARN,737,GEV,0,ATP
2N,3652,709,ARN,737,HAD,0,SF3
2N,3652,688,ARN,737,JKG,0,ATP SF3
2N,3652,718,ARN,737,KRF,0,ATP
2N,3652,5595,ARN,737,KSD,0,SF3
2N,3652,719,ARN,737,LYC,0,ATP
2N,3652,442,ARN,737,MHQ,0,SF3
2N,3652,722,ARN,737,OER,0,ATR
2N,3652,448,ARN,737,POR,0,SF3
2N,3652,664,ARN,737,TRF,0,SF3
2N,3652,746,ARN,737,VBY,0,SF3 ATP
2N,3652,729,ARN,737,VHM,0,SF3
2N,3652,711,ARN,737,VXO,0,SF3
2N,3652,737,GEV,715,ARN,0,ATP
2N,3652,718,GEV,715,KRF,0,ATP
2N,3652,737,HAD,709,ARN,0,SF3 ATP
2N,3652,688,HAD,709,JKG,0,ATP SF3
2N,3652,711,HAD,709,VXO,0,SF3
2N,3652,729,HMV,5599,VHM,0,SF3
2N,3652,737,JKG,688,ARN,0,ATP SF3
2N,3652,709,JKG,688,HAD,0,ATP SF3
2N,3652,448,KOK,435,POR,0,SF3
2N,3652,737,KRF,718,ARN,0,ATP
2N,3652,715,KRF,718,GEV,0,ATP
2N,3652,737,KSD,5595,ARN,0,SF3
2N,3652,730,LYC,719,AJR,0,ATP
2N,3652,737,LYC,719,ARN,0,ATP
2N,3652,737,MHQ,442,ARN,0,SF3
2N,3652,460,MHQ,442,TKU,0,SF3
2N,3652,737,OER,722,ARN,0,ATR
2N,3652,711,OSL,644,VXO,0,SF3
2N,3652,737,POR,448,ARN,0,SF3
2N,3652,435,POR,448,KOK,0,SF3
2N,3652,442,TKU,460,MHQ,0,SF3
2N,3652,737,TRF,664,ARN,0,SF3
2N,3652,737,VBY,746,ARN,0,SF3 ATP
2N,3652,737,VHM,729,ARN,0,SF3
2N,3652,5599,VHM,729,HMV,0,SF3
2N,3652,737,VXO,711,ARN,0,SF3
2N,3652,644,VXO,711,OSL,0,SF3
2O,146,7167,ADQ,3531,AOS,0,BNI
2O,146,7168,ADQ,3531,KKB,0,BNI
2O,146,7162,ADQ,3531,KLN,0,BNI
2O,146,7164,ADQ,3531,KOZ,0,BNI
2O,146,7163,ADQ,3531,OLH,0,BNI
2O,146,7176,AOS,7167,KZB,0,BNI
2O,146,7173,KKB,7168,SYB,0,BNI
2O,146,7161,KLN,7162,KYK,0,BNI
2O,146,7165,KOZ,7164,ORI,0,BNI
2O,146,7172,SYB,7173,KPR,0,BNI
2P,897,2397,BSO,6019,MNL,0,DH4
2P,897,2397,BXU,4200,MNL,0,320
2P,897,2397,CBO,2399,MNL,0,320
2P,897,2397,CGY,2400,MNL,0,320
2P,897,2397,CRM,6024,MNL,0,DH4
2P,897,2397,DGT,2425,MNL,0,320
2P,897,2397,DWC,8076,MNL,0,330
2P,897,2397,GES,2402,MNL,0,320
2P,897,2397,KLO,2430,MNL,0,320
2P,897,2397,LGP,4203,MNL,0,320
2P,897,6019,MNL,2397,BSO,0,DH4
