name,,Code,latitude,longitude
Métro Charlevoix (Centre / Charlevoix),,4000,45.54959768,-73.54187429
Jeanne-d'Arc / Ontario,,4001,45.52007477,-73.62977564
Graham / Brookfield,,4002,45.51693655,-73.64048302
Graham / Wicksteed,,5002,45.53368199,-73.51526074
St-Charles / Montarville,,5003,45.52841044,-73.51716578
Place Longueuil,,5004,45.539824,-73.508752
St-Charles / Grant,,5005,45.53690747,-73.51191401
St-Charles / St-Jean,,5006,45.53722604,-73.49506706
Collège Édouard-Montpetit (de Gentilly / de Normandie),,5007,45.52331869,-73.52012694
Métro Longueuil - Université de Sherbrooke,,6001,45.51035068,-73.55650842
Métro Champ-de-Mars (Viger / Sanguinet),,6002,45.53938508,-73.54099989
Ste-Catherine / Dezery,,6003,45.51100667,-73.56760204
Clark / Evans,,6004,45.5096552,-73.5540086
du Champ-de-Mars / Gosford,,6005,45.50020806,-73.57113786
Metcalfe / du Square-Dorchester,,6006,45.55789546,-73.5765291
18e avenue / Rosemont,,6007,45.51166046,-73.5621357
de l'Hôtel-de-Ville / Ste-Catherine,,6008,45.51279686,-73.56146247
Sanguinet / Ste-Catherine,,6009,45.49811161,-73.5776154
Crescent / de Maisonneuve,,6011,45.51411453,-73.5526447
St-André / St-Antoine,,6012,45.51066,-73.56497
Métro St-Laurent (de Maisonneuve / St-Laurent),,6013,45.51340554,-73.56259435
Sanguinet / de Maisonneuve,,6014,45.51287122,-73.55846643
St-Denis / René-Lévesque,,6015,45.515299,-73.561273
BAnQ (Berri / de Maisonneuve),,6016,45.472503,-73.539285
Jacques-Le Ber / de la Pointe Nord,,6017,45.52063377,-73.56390595
Atateken / du Square Amherst,,6018,45.51889,-73.56353
St-André / Ontario,,6019,45.51799894,-73.56818408
Métro Sherbrooke (de Rigaud / Berri),,6020,45.51476724,-73.56549114
Sanguinet / Ontario,,6021,45.51456467,-73.5684067
de l'Hôtel-de-Ville / Sherbrooke,,6022,45.54171981,-73.56517732
William-Tremblay / Molson,,6023,45.51086,-73.54983
de la Commune / Berri,,6024,45.60761596,-73.50982189
Bellerive / Duchesneau,,6025,45.50714392,-73.55511904
Notre-Dame / St-Gabriel,,6026,45.50761009,-73.55183601
de la Commune / Place Jacques-Cartier,,6027,45.50205386,-73.57346535
de Maisonneuve / Mansfield (sud),,6029,45.48084576,-73.58386159
Bourget / St-Jacques,,6031,45.50426293,-73.57152343
de Maisonneuve / Robert-Bourassa,,6032,45.50623,-73.55976
Métro Place-d'Armes (Viger / St-Urbain),,6033,45.55828064,-73.58315885
St-Urbain / René-Lévesque,,6034,45.50797476,-73.56307179
Place Jean-Paul Riopelle (Viger / de Bleury),,6708,45.5037267,-73.561704
16e avenue / Beaubien,,6035,45.50531167,-73.56089115
Viger / Chenneville,,6036,45.50424246,-73.55346948
de la Commune / St-Sulpice,,6037,45.50196686,-73.55515257
St-Nicolas / Place d'Youville,,6038,45.49975,-73.55566
McGill / Place d'Youville,,6039,45.500779,-73.558826
McGill / des Récollets,,6040,45.5027865,-73.5591343
St-Jacques / St-Pierre,,6041,45.50144108,-73.56014416
St-Jacques / McGill,,6042,45.50060578,-73.56544822
de la Gauchetière / Robert-Bourassa,,6043,45.50206,-73.56295
Square Victoria (Viger / du Square-Victoria),,6044,45.52156427,-73.5703674
Roy / St-André,,6046,45.49831218,-73.56725603
Métro Bonaventure (de la Gauchetière / de la Cathédrale),,6047,45.50740168,-73.57844353
University / Prince-Arthur,,6048,45.49891911,-73.55725408
William / St-Henri,,6049,45.49760528,-73.55534971
Queen / Wellington,,6050,45.49857779,-73.56024206
St-Maurice / Robert-Bourassa,,6051,45.529686,-73.601728
de Gaspé / Marmier,,6052,45.49751503,-73.55257094
de la Commune / King,,6053,45.50820462,-73.5688144
du Président-Kennedy / Jeanne-Mance,,6057,45.49771835,-73.56818005
Peel / de la Gauchetiere,,6058,45.49932551,-73.57176751
